name,gender,education_level,experience_years,score,hired
User_66,Female,Bachelor,15,66,0
User_67,Male,Bachelor,3,56,0
User_68,Female,Bachelor,4,51,0
User_69,Female,Bachelor,4,61,0
User_70,Female,Master,7,56,0
User_71,Female,Master,9,49,0
User_72,Male,Master,16,93,1
User_73,Female,Bachelor,8,40,1
User_74,Male,PhD,18,61,0
User_75,Female,Master,13,65,0
User_76,Female,Master,7,95,0
User_77,Female,Master,8,98,0
User_78,Male,Bachelor,10,57,0
User_79,Female,Bachelor,0,89,1
User_80,Male,Bachelor,13,53,0
User_81,Female,Master,4,86,0
User_82,Male,Bachelor,13,68,0
User_83,Female,Bachelor,3,51,0
User_84,Male,Bachelor,0,75,1
User_85,Male,Bachelor,18,98,1
User_86,Female,PhD,7,74,0
User_87,Male,Master,14,91,1
User_88,Female,Bachelor,14,51,0
User_89,Female,Bachelor,8,46,0
User_90,Female,Bachelor,8,68,0
User_91,Female,Bachelor,9,50,0
User_92,Female,Bachelor,19,72,0
User_93,Female,Bachelor,8,45,0
User_94,Female,Bachelor,2,86,0
User_95,Female,Master,19,54,0
User_96,Female,Master,10,71,0
User_97,Female,Bachelor,5,90,1
User_98,Female,Bachelor,1,50,0
User_99,Male,Master,6,97,1
User_100,Male,Master,17,62,1
User_101,Female,PhD,1,65,0
User_102,Female,Master,16,73,0
User_103,Female,Bachelor,10,85,1
User_104,Female,Bachelor,11,73,0
User_105,Female,Master,18,68,0
User_106,Female,Bachelor,6,43,0
User_107,Female,Master,19,56,0
User_108,Female,PhD,5,74,0
User_109,Male,Master,0,52,0
User_110,Female,Bachelor,16,80,1
User_111,Male,Master,10,78,1
User_112,Female,Bachelor,17,54,0
User_113,Female,Master,16,94,1
User_114,Male,PhD,6,68,0
User_115,Female,Bachelor,16,68,0
User_116,Male,PhD,19,50,0
User_117,Female,PhD,8,91,1
User_118,Female,Bachelor,16,71,0
User_119,Male,Bachelor,19,41,0
User_120,Female,Bachelor,7,86,1
User_121,Male,Bachelor,16,53,1
User_122,Female,Bachelor,6,59,0
User_123,Male,Master,0,61,1
User_124,Male,Bachelor,12,50,0
User_125,Female,Bachelor,18,66,0
User_126,Female,PhD,18,42,1
User_127,Male,Bachelor,16,56,0
User_128,Female,PhD,12,83,1
User_129,Female,Bachelor,15,95,1
User_130,Female,Bachelor,7,67,0
User_131,Male,Master,18,68,1
User_132,Male,Master,17,60,0
User_133,Male,PhD,0,86,1
User_134,Male,Master,13,55,0
User_135,Male,PhD,18,76,1
User_136,Male,Bachelor,14,98,1
User_137,Male,Bachelor,17,59,1
User_138,Male,Master,1,45,1
User_139,Male,PhD,16,58,0
User_140,Female,PhD,17,96,0
User_141,Male,Bachelor,5,44,0
User_142,Female,Bachelor,18,42,0
User_143,Female,Master,3,98,1
User_144,Female,Bachelor,0,40,0
User_145,Male,PhD,7,97,1
User_146,Male,PhD,6,99,1
User_147,Male,Bachelor,2,77,1
User_148,Male,Master,9,54,0
User_149,Female,Master,9,73,0
User_150,Male,Bachelor,18,74,0
User_151,Male,PhD,13,88,1
User_152,Male,Master,1,64,1
User_153,Male,PhD,0,63,0
User_154,Male,Bachelor,17,51,0
User_155,Female,PhD,6,57,0
User_156,Male,Bachelor,7,54,1
User_157,Female,Bachelor,0,83,1
User_158,Male,PhD,2,55,1
User_159,Female,Bachelor,7,66,0
User_160,Male,Bachelor,14,47,0
User_161,Male,PhD,4,99,1
User_162,Female,PhD,2,85,0
User_163,Female,Master,18,64,1
User_164,Female,Master,0,56,0
User_165,Male,Bachelor,14,68,1
User_166,Female,Bachelor,7,92,1
User_167,Male,Bachelor,1,47,0
User_168,Male,Master,2,54,0
User_169,Female,Master,13,66,0
User_170,Female,Master,13,85,0
User_171,Male,Master,10,89,1
User_172,Male,Bachelor,15,91,1
User_173,Female,Bachelor,3,46,0
User_174,Female,Bachelor,19,42,0
User_175,Female,Master,4,68,0
User_176,Male,Bachelor,13,83,0
User_177,Male,PhD,15,92,1
User_178,Male,Bachelor,17,63,1
User_179,Male,Bachelor,6,99,1
User_180,Male,Bachelor,9,97,1
User_181,Male,Master,6,42,0
User_182,Female,Master,0,59,0
User_183,Male,Bachelor,18,85,1
User_184,Male,Bachelor,15,54,0
User_185,Male,Master,18,64,0
User_186,Female,Bachelor,3,69,0
User_187,Male,PhD,17,53,0
User_188,Male,Master,1,46,1
User_189,Female,Bachelor,0,56,0
User_190,Male,Bachelor,14,83,1
User_191,Male,PhD,4,59,0
User_192,Male,Bachelor,19,75,0
User_193,Male,Bachelor,10,48,1
User_194,Male,PhD,9,77,1
User_195,Female,PhD,1,87,1
User_196,Female,PhD,2,96,1
User_197,Female,Master,11,99,1
User_198,Male,Bachelor,19,61,1
User_199,Male,Bachelor,4,93,0
User_200,Male,Master,4,92,1
User_201,Female,Master,5,92,1
User_202,Male,Bachelor,8,41,0
User_203,Male,PhD,1,63,1
User_204,Female,Bachelor,11,47,0
User_205,Male,Bachelor,2,50,0
User_206,Female,Bachelor,19,52,0
User_207,Female,Bachelor,11,56,0
User_208,Female,Bachelor,16,47,0
User_209,Male,Bachelor,9,60,0
User_210,Male,Bachelor,13,57,0
User_211,Male,Master,16,69,1
User_212,Male,Master,17,57,1
User_213,Male,Master,18,85,0
User_214,Male,PhD,16,86,1
User_215,Male,Bachelor,13,70,1
User_216,Female,Bachelor,8,77,1
User_217,Male,PhD,7,71,0
User_218,Female,Bachelor,1,50,1
User_219,Male,PhD,12,84,1
User_220,Male,Bachelor,6,64,0
User_221,Male,PhD,8,72,1
User_222,Female,Bachelor,10,99,0
User_223,Female,PhD,13,77,1
User_224,Female,Master,3,80,1
User_225,Female,PhD,12,47,0
User_226,Male,Bachelor,1,50,0
User_227,Female,Master,4,61,0
User_228,Male,PhD,10,90,1
User_229,Male,Master,5,63,1
User_230,Female,Master,17,80,1
User_231,Female,Master,9,56,0
User_232,Female,Bachelor,3,51,0
User_233,Female,Master,8,96,1
User_234,Female,Master,5,85,1
User_235,Female,PhD,1,71,0
User_236,Female,Bachelor,16,54,0
User_237,Female,Bachelor,4,55,0
User_238,Male,PhD,5,93,1
User_239,Female,PhD,11,61,0
User_240,Female,Bachelor,9,67,0
User_241,Male,Master,5,59,0
User_242,Female,Bachelor,7,72,0
User_243,Male,Bachelor,1,49,0
User_244,Male,Bachelor,11,79,1
User_245,Female,Bachelor,12,71,0
User_246,Male,Master,6,89,1
User_247,Male,Bachelor,9,99,1
User_248,Male,PhD,12,72,1
User_249,Male,PhD,16,41,0
User_250,Female,Master,13,72,0
User_251,Male,Master,1,72,0
User_252,Female,Bachelor,10,80,1
User_253,Male,PhD,0,52,0
User_254,Male,Master,18,69,1
User_255,Male,Bachelor,3,72,1
User_256,Male,PhD,18,52,0
User_257,Female,PhD,10,91,1
User_258,Female,PhD,7,65,1
User_259,Male,Master,10,61,1
User_260,Male,Master,3,78,1
User_261,Female,Bachelor,16,41,0
User_262,Male,PhD,6,77,1
User_263,Male,PhD,7,78,0
User_264,Male,Bachelor,2,65,0
User_265,Female,Bachelor,1,85,1
User_266,Female,Bachelor,14,97,1
User_267,Female,PhD,4,89,0
User_268,Male,PhD,0,54,1
User_269,Male,Bachelor,3,73,0
User_270,Female,Master,14,81,0
User_271,Female,Bachelor,19,94,1
User_272,Female,PhD,18,83,0
User_273,Female,PhD,2,88,0
User_274,Male,PhD,19,79,1
User_275,Female,Bachelor,10,50,0
User_276,Male,Bachelor,16,42,0
User_277,Female,Bachelor,12,98,1
User_278,Male,Bachelor,10,45,1
User_279,Female,PhD,1,48,1
User_280,Female,PhD,8,45,0
User_281,Female,PhD,1,48,0
User_282,Female,PhD,8,78,1
User_283,Male,Master,8,70,0
User_284,Female,Master,7,71,0
User_285,Male,PhD,16,80,1
User_286,Male,PhD,0,89,1
User_287,Male,Bachelor,10,51,1
User_288,Male,Bachelor,7,47,1
User_289,Female,Bachelor,9,47,0
User_290,Male,PhD,6,89,1
User_291,Male,Master,2,67,1
User_292,Male,Bachelor,2,59,0
User_293,Female,Master,17,86,1
User_294,Female,Master,4,98,1
User_295,Female,Bachelor,11,46,0
User_296,Female,Bachelor,11,50,0
User_297,Male,Master,18,59,0
User_298,Male,Master,5,55,1
User_299,Female,Master,1,43,0
User_300,Male,Master,11,45,1
User_301,Male,PhD,18,97,1
User_302,Male,Master,4,61,0
User_303,Female,Master,11,65,0
User_304,Female,PhD,16,42,0
User_305,Male,Bachelor,16,80,1
User_306,Female,Bachelor,9,99,0
User_307,Female,Bachelor,16,81,0
User_308,Female,Master,14,53,0
User_309,Female,Master,11,50,0
User_310,Female,Master,15,57,0
User_311,Male,Bachelor,18,93,1
User_312,Female,Bachelor,7,51,0
User_313,Male,Bachelor,16,62,0
User_314,Male,Bachelor,4,51,0
User_315,Female,Master,15,52,0
User_316,Male,Bachelor,5,64,0
User_317,Male,Bachelor,7,84,1
User_318,Male,PhD,17,90,1
User_319,Female,Bachelor,11,97,1
User_320,Female,Master,14,58,0
User_321,Male,Master,8,94,1
User_322,Female,Bachelor,12,85,1
User_323,Female,Master,14,75,0
User_324,Female,PhD,9,84,1
User_325,Female,PhD,15,47,0
User_326,Male,Bachelor,6,68,0
User_327,Male,PhD,16,94,1
User_328,Female,Bachelor,6,92,1
User_329,Female,Bachelor,13,94,0
User_330,Male,Bachelor,14,71,1
User_331,Male,PhD,6,90,1
User_332,Female,Bachelor,8,83,1
User_333,Male,Bachelor,18,57,0
User_334,Female,Master,15,45,0
User_335,Female,Bachelor,7,57,0
User_336,Male,Bachelor,17,58,1
User_337,Male,Bachelor,17,61,1
User_338,Female,Bachelor,19,76,1
User_339,Female,Bachelor,6,71,0
User_340,Male,Bachelor,2,95,1
User_341,Female,Master,17,80,1
User_342,Male,Bachelor,9,98,1
User_343,Female,Bachelor,6,42,0
User_344,Male,PhD,16,67,1
User_345,Male,Bachelor,13,49,0
User_346,Male,Master,2,90,1
User_347,Female,Bachelor,11,74,0
User_348,Female,Bachelor,12,68,0
User_349,Male,Bachelor,1,93,1
User_350,Female,Bachelor,2,54,0
User_351,Male,Bachelor,4,72,1
User_352,Male,Bachelor,10,46,0
User_353,Female,Bachelor,7,51,0
User_354,Female,Bachelor,11,88,1
User_355,Male,Bachelor,6,69,0
User_356,Female,Bachelor,14,60,0
User_357,Female,Bachelor,16,70,0
User_358,Male,Master,3,97,1
User_359,Male,Master,12,63,1
User_360,Female,Bachelor,17,59,0
User_361,Male,Master,0,76,1
User_362,Male,Master,15,43,0
User_363,Female,Bachelor,12,67,0
User_364,Male,PhD,9,83,1
User_365,Male,PhD,11,59,1
User_366,Female,Bachelor,1,99,1
User_367,Female,Bachelor,2,63,0
User_368,Male,PhD,9,89,1
User_369,Male,Master,1,88,1
User_370,Female,Bachelor,12,90,0
User_371,Female,Bachelor,12,71,0
User_372,Female,Bachelor,17,80,0
User_373,Female,Bachelor,2,75,0
User_374,Male,Master,6,97,1
User_375,Female,Bachelor,13,92,1
User_376,Female,Bachelor,19,73,0
User_377,Male,Master,16,75,0
User_378,Female,Bachelor,11,41,0
User_379,Male,Bachelor,15,54,1
User_380,Female,Master,11,73,1
User_381,Female,PhD,14,75,0
User_382,Female,Master,9,45,0
User_383,Male,Master,6,78,1
User_384,Male,Bachelor,19,81,0
User_385,Female,Bachelor,4,90,0
User_386,Male,Master,0,90,0
User_387,Male,Bachelor,16,97,1
User_388,Male,Bachelor,2,93,1
User_389,Male,Bachelor,12,51,0
User_390,Male,Bachelor,13,42,0
User_391,Male,Bachelor,17,84,1
User_392,Female,Bachelor,3,57,1
User_393,Female,Bachelor,17,79,1
User_394,Male,Bachelor,4,60,1
User_395,Female,PhD,15,54,0
User_396,Female,Master,0,72,0
User_397,Female,Master,13,74,0
User_398,Female,Master,14,65,0
User_399,Male,Bachelor,8,47,0
User_400,Female,Bachelor,14,75,0
User_401,Female,Master,16,87,1
User_402,Male,Master,3,69,1
User_403,Male,Master,11,62,1
User_404,Female,Bachelor,4,81,1
User_405,Female,Bachelor,4,83,0
User_406,Female,Bachelor,10,53,0
User_407,Female,Bachelor,5,53,0
User_408,Female,Master,6,41,0
User_409,Female,Master,13,94,1
User_410,Male,Bachelor,10,76,1
User_411,Female,PhD,12,44,0
User_412,Female,Master,1,77,1
User_413,Male,Bachelor,6,84,0
User_414,Male,Bachelor,19,80,1
User_415,Male,Bachelor,3,93,1
User_416,Male,Bachelor,7,99,1
User_417,Female,Bachelor,19,86,1
User_418,Female,Bachelor,18,53,0
User_419,Female,Bachelor,12,95,1
User_420,Female,Bachelor,13,78,1
User_421,Female,PhD,9,64,0
User_422,Female,Bachelor,10,59,0
User_423,Male,Master,1,41,1
User_424,Female,Bachelor,8,78,1
User_425,Male,PhD,16,45,1
User_426,Male,Bachelor,2,56,0
User_427,Female,Bachelor,5,98,0
User_428,Male,PhD,4,64,0
User_429,Female,PhD,4,96,1
User_430,Male,PhD,14,67,0
User_431,Female,Bachelor,16,41,0
User_432,Male,Bachelor,8,74,1
User_433,Female,Master,2,76,0
User_434,Female,PhD,19,44,0
User_435,Female,Master,16,40,0
User_436,Female,Master,9,79,0
User_437,Female,Bachelor,2,51,0
User_438,Male,Master,17,95,0
User_439,Male,Bachelor,17,75,0
User_440,Male,Bachelor,16,84,1
User_441,Female,Bachelor,2,62,0
User_442,Male,Master,2,86,1
User_443,Female,Bachelor,5,70,0
User_444,Female,Bachelor,12,50,0
User_445,Male,Master,14,49,1
User_446,Male,Bachelor,8,42,0
User_447,Female,Master,3,93,0
User_448,Male,Bachelor,13,53,1
User_449,Female,Bachelor,4,55,0
User_450,Female,Master,1,49,1
User_451,Female,Bachelor,10,68,0
User_452,Female,Bachelor,8,49,0
User_453,Female,Bachelor,2,51,0
User_454,Male,Bachelor,8,69,1
User_455,Male,PhD,2,80,1
User_456,Female,Bachelor,1,40,0
User_457,Female,PhD,11,44,0
User_458,Male,Bachelor,9,59,0
User_459,Male,Master,8,47,1
User_460,Female,Master,14,82,1
User_461,Male,Master,7,51,1
User_462,Female,Bachelor,4,40,0
User_463,Male,Bachelor,10,96,1
User_464,Female,Bachelor,1,93,1
User_465,Male,PhD,14,59,1
User_466,Female,PhD,5,67,0
User_467,Male,PhD,7,96,1
User_468,Male,Bachelor,4,82,1
User_469,Female,Master,15,76,0
User_470,Male,PhD,17,86,1
User_471,Female,Bachelor,5,76,1
User_472,Male,Bachelor,4,51,0
User_473,Female,Master,15,76,0
User_474,Male,Master,12,88,1
User_475,Female,PhD,4,88,0
User_476,Male,Bachelor,12,95,1
User_477,Female,Master,16,83,0
User_478,Male,Bachelor,17,95,1
User_479,Female,Bachelor,7,67,0
User_480,Female,Bachelor,12,86,1
User_481,Female,PhD,18,54,0
User_482,Male,Master,2,45,0
User_483,Female,Master,7,83,0
User_484,Male,Bachelor,1,98,1
User_485,Female,PhD,7,59,1
User_486,Male,Bachelor,12,89,1
User_487,Female,PhD,12,53,0
User_488,Male,Bachelor,0,41,0
User_489,Male,Bachelor,5,48,0
User_490,Female,Bachelor,18,76,0
User_491,Male,Bachelor,15,59,0
User_492,Male,Master,7,65,0
User_493,Female,Master,0,68,0
User_494,Male,Bachelor,15,40,1
User_495,Male,PhD,8,94,1
User_496,Male,Bachelor,12,74,0
User_497,Female,Master,10,45,0
User_498,Male,PhD,12,76,1
User_499,Female,Master,9,92,0
